,US Large Cap Equity,US Mid Cap Equity,US Small Cap Equity,Emerging Market Equity,Long Duration Treasury,TIPS,Investment Grade Credit,REITs,Commodities,High Yield Credit,Hedge Funds,Private Equity,Private Real Estate
2018-09-30,0.06321221974126612,0.03772147435978512,0.03565535801216768,-0.009462098306131761,-0.030038053573560708,-0.008629488789736794,0.012212958977351862,0.004427717665389519,0.011166988533969802,0.024045391811071903,0.004808387144379145,0.059711104725000075,0.02591083967099994
2018-12-31,-0.1416786455557144,-0.17280210635878368,-0.2029186411800482,-0.07626369790681475,0.045877467145859274,-0.005216266428653471,-0.005855264777021141,-0.06468768438743167,-0.22584207701517534,-0.04535925005241237,-0.042949038514447424,-0.06728270037700002,0.004205968900000023
2019-03-31,0.13847541970447952,0.14476979621850639,0.14636402914279567,0.09882213203089885,0.04512747708654663,0.032508623771087874,0.06178954825969796,0.1738159285928067,0.13766043427143493,0.07258153069067741,0.04528333952316266,-0.06728270037700002,0.004205968900000023
2019-06-30,0.03939825472229619,0.030406995547209492,0.019323067826558793,0.007389916165650323,0.05706889761498912,0.027413346161131447,0.05408876722224032,0.015308434428946915,-0.018808789612686727,0.02499414999414995,0.023065821198278824,0.08459919582099995,0.01259864854199999
2019-09-30,0.007166995956653377,-0.0009070682905564231,-0.02333181375939497,-0.04754137611264608,0.08350355104632579,0.01517807555309414,0.03362640447725762,0.07548250480886232,-0.03833862251887754,0.013340943140472294,0.0008750443748501979,-0.02768918549599997,0.006241417952000061
2019-12-31,0.08498387582194256,0.06995593376650944,0.09870372514604009,0.1213225247705303,-0.046649167322929674,0.006112044692452079,0.014544885369253358,0.005744852935624101,0.0770763374775183,0.026147564066460127,0.028062451232808927,0.04622592304100004,0.059038246879000056
2020-03-31,-0.2099749744356728,-0.29686320530917676,-0.3064370194847721,-0.239358155751214,0.22149503650184554,0.012661275636419056,-0.029726972278661057,-0.2413500339210266,-0.4262800298586562,-0.12684386020280736,-0.08025535874549738,-0.18178625776699997,-0.12266672735700002
2020-06-30,0.22049701394692467,0.24063840032192396,0.25514743372816096,0.17849506642453727,-0.002296622487713007,0.0472117227921911,0.09710749959518705,0.1353985090017118,0.11505372826660887,0.10136250058931684,0.09007895092452656,0.19514359962600003,0.041180268468999914
2020-09-30,0.08823945051957605,0.04687686524793788,0.05015301825667695,0.1025254915178826,-0.0006826427624506692,0.028455201376460515,0.008214297516911717,0.013268189352145354,0.03664417730323177,0.045788564987229385,0.04310564011617868,0.1950045755430001,0.09632149827100012
2020-12-31,0.15063216753725728,0.24391352596140203,0.31298369214390465,0.184037089910851,-0.029834941756488154,0.016258633164216274,0.03397457349750055,0.09291567707951898,0.14697673708893544,0.06441357856246244,0.0905040209927006,0.08039703980800006,0.02224404289400006
2021-03-31,0.05999233183252661,0.13550348836242154,0.12901944475811322,0.03232041407299935,-0.1392242227922521,-0.01684272165156553,-0.05471598458092064,0.08792041875934098,0.13300894999761015,0.008562675451527335,0.0558667169286049,0.07936091275900004,0.05529383931100007
2021-06-30,0.08034858326822869,0.03526487644675513,0.03971455152323844,0.03846048127420798,0.0702680375433038,0.032108517293950145,0.039207455514136846,0.11598502059020754,0.1517537469603767,0.027350948767809413,0.03131685632439796,0.15990420294600005,0.07465745719200001
2021-09-30,-0.0046078592984379885,-0.017504190261733665,-0.04341150446821851,-0.08649119666436567,0.003590454825299627,0.017076060481620248,-0.00453363363385928,0.006101373889587869,0.04785583905913304,0.008931995595858,0.003164016065250852,0.023554820116000075,0.08706360574399996
2021-12-31,0.07995872168648632,0.07981925786635014,0.020003459858370265,-0.01595773792791222,0.03184201824470145,0.023951484964668035,0.003774538155308038,0.1505184079455062,0.014827994718251025,0.006891055116179379,0.012471050091436897,0.03165093653600004,0.081896172155
